panelist,sample,intense colour,coffee odour,milk odour,sweet odour,caramelous odour,acidic odour,creamy odour,sweet taste,acidic taste,bitter taste,coffee taste,milk taste,creamy taste,caramelous taste,visually thick,visually thin,acidic aftertaste,bitter aftertaste,sweet aftertaste,creamy aftertaste,coffee aftertaste,thin,thick,refreshing,cold,light taste
pan_001,Cup,2,2,1,1,1,0,1,2,0,2,2,1,1,1,1,3,0,2,2,1,2,3,1,3,3,2
pan_002,Spoon,2,2,2,3,2,0,0,3,0,0,3,2,2,2,0,2,0,2,1,2,3,1,0,3,3,2
pan_003,Straw,2,2,1,2,2,1,2,2,1,2,2,2,2,1,2,2,1,2,2,3,3,2,3,3,3,2
pan_004,Straw,2,1,0,2,2,1,0,3,1,1,1,0,2,2,2,1,1,1,1,0,1,2,0,2,2,2
pan_005,Cup,2,1,1,1,1,1,1,1,3,3,3,1,1,2,3,2,3,3,1,2,3,2,3,3,3,3
pan_006,Spoon,2,3,2,3,3,3,3,3,3,2,3,2,3,3,1,2,3,2,1,3,3,1,3,1,2,1
pan_007,Cup,2,3,2,3,2,1,2,3,2,2,2,1,1,1,2,2,1,2,2,1,2,1,2,3,2,2
pan_008,Spoon,2,2,1,1,1,0,1,1,0,1,2,1,1,1,2,0,0,0,1,1,1,0,0,2,2,0
pan_009,Straw,2,1,1,1,1,2,0,2,1,2,2,2,1,2,2,1,0,2,1,0,2,0,0,3,2,3
pan_010,Straw,2,1,1,2,2,2,2,3,2,2,2,2,2,2,3,2,2,2,2,2,2,3,3,3,3,3
pan_011,Cup,2,3,3,3,0,0,2,3,1,1,2,3,1,2,2,1,0,1,2,0,0,0,1,3,2,1
pan_012,Spoon,2,2,3,3,3,1,3,3,2,3,2,3,3,3,2,1,3,3,3,3,2,1,3,3,3,3
pan_013,Cup,2,1,1,1,3,2,3,2,1,1,1,2,3,3,2,0,1,0,0,2,1,1,0,2,2,1
pan_014,Spoon,2,1,0,2,0,0,0,2,0,0,2,1,1,2,3,2,0,0,0,2,0,0,0,3,3,1
pan_015,Straw,3,2,3,3,3,3,3,3,2,1,2,3,3,3,3,2,1,2,3,3,2,3,0,3,3,2
pan_016,Straw,2,1,0,3,3,2,3,3,2,1,1,3,3,3,1,3,2,1,3,3,1,3,1,1,1,3
pan_017,Cup,2,3,1,1,2,1,1,1,1,2,2,1,1,2,2,1,1,3,0,1,3,2,2,1,1,1
pan_018,Spoon,3,1,0,2,1,0,2,2,0,1,1,2,2,1,3,1,0,2,2,1,3,1,2,2,1,2
pan_019,Cup,2,2,1,2,1,0,1,2,1,1,1,1,1,2,3,2,1,0,2,1,1,1,1,1,1,2
pan_020,Spoon,2,2,0,0,1,0,2,0,2,0,1,2,3,0,2,0,2,1,0,2,1,1,2,1,2,1
pan_021,Straw,2,1,2,2,0,0,0,1,0,0,2,1,2,1,2,2,0,0,1,1,1,0,0,2,2,1
pan_022,Straw,3,1,1,1,1,0,0,1,0,0,1,0,3,3,3,3,0,2,2,2,0,3,2,1,3,1
pan_023,Cup,3,2,0,3,0,0,0,3,3,3,3,0,0,0,3,3,3,3,0,0,3,2,0,0,0,2
pan_024,Spoon,2,3,1,2,3,0,1,2,0,2,2,1,1,1,2,0,0,2,0,0,3,0,0,1,2,0
pan_025,Cup,2,3,1,2,2,0,2,2,0,3,3,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2
pan_026,Spoon,2,2,2,2,2,1,1,2,1,1,2,0,2,2,0,2,0,1,0,0,2,0,0,2,2,1
pan_027,Straw,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
pan_028,Straw,2,2,2,0,0,0,0,1,2,0,1,0,2,0,1,0,0,1,0,1,0,0,0,1,0,1
pan_029,Cup,3,3,3,2,3,0,3,2,0,3,3,2,3,3,3,3,2,2,2,2,3,3,1,3,3,3
pan_030,Spoon,2,0,0,1,1,0,0,1,0,0,1,0,3,3,0,0,2,0,1,1,0,1,1,0,0,0
pan_031,Cup,3,2,1,3,3,0,3,2,0,2,3,2,3,3,3,1,0,2,2,2,2,1,2,2,2,2
pan_032,Spoon,2,3,1,2,3,0,2,2,0,1,2,2,3,2,2,0,0,0,0,0,2,2,1,2,2,1
pan_033,Straw,2,1,1,2,2,2,1,2,2,3,1,2,2,2,1,2,2,2,0,0,1,2,0,0,2,1
pan_034,Straw,2,2,2,2,2,0,2,2,0,2,2,2,2,2,3,2,0,0,0,0,1,2,1,1,1,2
pan_035,Cup,3,3,3,2,3,2,3,2,3,3,3,3,3,3,3,3,2,3,2,3,3,3,2,3,3,3
pan_036,Spoon,2,3,1,1,3,0,3,2,0,1,2,0,0,0,0,0,0,2,1,2,2,2,2,2,3,2
pan_037,Cup,2,3,2,2,2,0,2,2,0,0,2,2,3,3,3,1,3,0,3,3,3,3,3,3,3,3
pan_038,Spoon,2,1,2,3,0,2,2,1,3,1,2,2,2,2,1,2,3,1,1,2,1,2,2,3,3,1
pan_039,Straw,2,1,1,1,2,0,1,1,0,1,2,1,1,2,2,2,0,1,1,1,1,1,2,2,1,2
pan_040,Straw,3,2,3,1,3,2,1,1,1,2,3,3,1,3,3,2,1,3,1,3,3,1,3,1,3,2
pan_041,Cup,2,3,1,0,2,0,2,0,0,2,2,2,2,3,2,0,0,0,0,1,2,2,0,1,2,1
pan_042,Spoon,3,1,0,0,0,0,0,0,0,2,3,0,0,1,0,2,0,3,0,0,3,3,0,0,0,2
pan_043,Cup,2,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,2,0,0,2,0,0,3,3,2
pan_044,Spoon,2,3,2,2,2,0,0,2,0,0,2,0,0,0,0,2,0,2,2,0,2,2,0,0,0,1
pan_045,Straw,3,2,1,0,0,1,0,1,2,3,2,1,0,0,2,1,2,2,0,0,3,2,0,2,2,1
pan_046,Straw,3,1,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,1,1,0,0,0,1
pan_047,Cup,2,2,2,2,0,0,2,2,1,3,2,2,1,0,2,1,0,3,0,0,1,0,0,0,0,0
pan_048,Spoon,2,2,1,2,1,1,3,2,1,2,2,2,1,2,0,0,1,1,1,2,1,0,0,3,1,2
pan_049,Cup,3,3,1,1,2,2,2,1,2,3,3,2,2,2,3,1,1,3,1,3,3,2,3,2,3,3
pan_050,Spoon,3,3,2,1,0,1,3,0,1,3,3,1,1,0,1,3,1,3,2,1,3,3,1,2,3,1
pan_051,Straw,2,2,1,2,3,0,2,1,0,1,2,1,1,3,2,1,0,0,1,1,1,0,2,2,2,0
pan_052,Straw,2,1,1,1,1,0,1,1,1,2,2,1,1,1,2,1,0,2,0,1,2,1,1,1,1,2
pan_053,Cup,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,3,3,3
pan_054,Spoon,1,0,0,0,3,0,0,2,1,0,0,1,1,2,1,2,1,0,2,0,0,2,1,2,2,2
pan_055,Cup,2,3,2,2,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,2,3,2,1
pan_056,Spoon,1,0,0,1,0,0,0,2,0,1,1,0,0,0,1,3,0,1,0,0,1,3,0,2,2,3
pan_057,Straw,2,2,2,2,2,0,2,3,0,2,2,1,2,2,1,3,0,2,2,2,3,3,0,0,0,2
pan_058,Straw,2,2,2,2,2,0,2,3,0,2,2,1,2,2,1,3,0,2,2,2,3,3,0,0,0,2
pan_059,Cup,2,2,1,1,1,1,1,3,2,2,3,2,2,2,2,1,3,3,1,1,3,3,1,3,3,1
pan_060,Spoon,3,3,1,1,0,0,0,0,1,2,3,1,0,1,2,0,1,2,0,0,2,2,0,0,2,1
pan_061,Cup,3,1,1,1,2,0,2,2,0,0,2,1,2,2,2,2,0,0,1,2,2,2,0,2,2,1
pan_062,Spoon,2,2,2,2,3,0,1,2,0,3,2,1,1,3,2,3,0,3,2,1,3,3,1,2,2,2
pan_063,Straw,3,3,2,3,0,0,0,3,0,2,3,1,0,0,1,3,0,1,2,0,3,3,1,2,3,1
pan_064,Straw,2,2,1,1,0,0,1,2,0,2,2,1,1,1,1,1,0,1,1,1,1,0,0,3,3,3
pan_065,Cup,3,2,1,1,1,0,2,0,0,2,0,1,2,1,1,0,0,1,1,1,1,0,0,2,1,0
pan_066,Spoon,3,2,1,1,3,1,1,1,1,1,2,1,3,2,2,3,1,1,1,0,2,3,0,3,3,2
pan_067,Cup,0,1,1,1,0,0,0,2,0,1,2,2,1,0,2,2,0,1,0,0,1,0,0,0,3,0
pan_068,Spoon,2,0,0,0,0,0,0,1,2,0,2,0,0,1,1,3,2,1,0,0,1,3,1,0,3,3
pan_069,Straw,1,2,1,2,2,0,1,2,0,3,3,1,1,2,2,2,0,3,1,0,3,2,0,0,0,1
pan_070,Straw,2,1,2,2,2,0,2,2,0,1,2,2,2,2,1,1,0,0,2,3,2,2,2,2,3,2
pan_001,Spoon,2,2,2,1,1,0,1,1,1,2,2,2,1,1,1,3,0,2,1,1,2,3,1,3,3,2
pan_002,Straw,3,3,2,0,2,0,2,2,0,2,3,2,2,2,3,1,0,1,2,0,3,2,2,3,3,0
pan_003,Cup,2,2,2,3,1,3,1,2,1,1,2,1,2,1,2,2,1,2,2,1,2,2,2,3,2,2
pan_004,Spoon,2,1,0,1,2,0,1,2,1,1,1,1,1,1,1,2,0,0,2,0,1,2,0,2,3,2
pan_005,Straw,2,1,1,1,1,1,1,2,2,2,3,2,2,2,2,2,2,3,2,2,3,3,2,3,3,3
pan_006,Cup,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,3,2,1,2,2,1,3,1,3,3,3
pan_007,Spoon,2,1,0,1,1,1,2,1,1,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,1,2
pan_008,Straw,2,1,1,1,1,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,0,1
pan_009,Cup,2,1,1,1,1,1,1,2,1,2,2,1,1,1,2,1,1,3,1,0,1,0,0,1,2,1
pan_010,Spoon,3,2,2,3,3,2,2,3,2,2,2,2,1,3,3,3,3,1,3,2,2,2,2,3,3,2
pan_011,Straw,1,1,1,1,1,1,1,0,1,1,2,0,1,0,0,3,1,0,1,0,3,0,2,3,2,2
pan_012,Cup,3,2,2,3,2,1,3,3,1,1,2,3,3,3,2,3,1,1,3,2,2,1,3,3,3,3
pan_013,Spoon,2,2,1,2,1,0,2,1,2,0,2,2,1,1,2,0,1,1,1,1,1,2,0,0,0,2
pan_014,Straw,2,0,0,0,0,0,0,2,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,2,3,2
pan_015,Cup,3,2,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,2,3,3,2,3,0,3,3,3
pan_016,Spoon,2,1,3,3,3,2,3,3,2,1,1,0,3,3,1,3,2,1,3,3,1,1,1,2,1,3
pan_017,Straw,2,3,1,1,2,2,1,1,2,2,3,1,1,2,2,2,2,2,0,0,2,2,2,1,2,0
pan_018,Cup,2,0,0,0,0,0,0,2,0,1,1,1,1,2,2,1,0,1,1,1,2,1,1,2,2,2
pan_019,Spoon,2,2,2,2,1,1,0,3,0,0,2,2,1,2,2,2,0,0,2,0,1,1,1,1,1,1
pan_020,Straw,2,2,0,1,0,0,0,2,0,1,1,3,3,0,0,2,2,3,0,1,2,0,0,0,3,2
pan_021,Cup,2,1,1,1,1,0,0,1,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,2,2,2
pan_022,Spoon,3,1,2,2,3,0,1,2,0,1,2,2,3,3,3,3,0,2,1,0,0,2,2,3,2,3
pan_023,Straw,3,2,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,3,3,0,3,3,0,0,0,0
pan_024,Cup,2,2,1,3,2,0,1,3,0,3,3,2,2,1,2,0,0,3,0,0,2,0,0,0,2,0
pan_025,Spoon,2,3,2,2,1,0,2,2,0,3,2,2,2,2,1,2,2,2,3,2,2,2,1,3,2,2
pan_026,Straw,2,2,3,2,2,1,2,2,1,1,3,2,1,3,0,2,1,1,1,2,2,0,0,3,2,2
pan_027,Cup,2,2,2,2,2,0,0,0,0,1,2,0,1,0,2,0,1,0,0,1,0,1,0,0,1,1
pan_028,Spoon,2,2,2,2,3,2,2,2,1,2,2,2,3,3,2,3,0,1,3,3,2,3,3,3,3,3
pan_029,Straw,3,2,2,1,3,1,2,1,2,3,3,2,2,3,3,2,2,3,1,2,3,3,1,3,3,3
pan_030,Cup,2,1,1,1,2,1,1,1,0,1,1,1,2,1,0,1,0,1,0,1,0,1,1,2,0,1
pan_031,Spoon,1,1,3,3,3,0,3,3,0,1,1,3,3,3,1,1,0,1,2,3,1,2,1,2,2,2
pan_032,Straw,2,1,0,1,1,0,1,2,0,2,2,2,3,1,1,0,0,0,0,0,2,0,2,2,2,1
pan_033,Cup,2,1,2,2,3,2,3,1,0,2,1,1,3,3,2,2,2,2,0,2,1,1,0,1,2,2
pan_034,Spoon,2,2,1,2,2,0,2,2,0,2,2,2,2,2,2,2,0,1,0,0,2,2,1,1,1,2
pan_035,Straw,3,3,3,2,3,2,3,2,2,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3
pan_036,Cup,2,2,3,1,3,0,3,2,0,1,2,3,2,2,2,2,0,1,1,2,1,2,1,3,3,2
pan_037,Spoon,3,2,0,0,0,0,0,2,0,0,2,0,2,2,2,0,0,0,0,0,0,0,2,3,3,3
pan_038,Straw,2,2,3,2,2,2,2,2,3,2,1,1,2,2,1,2,2,2,2,2,1,3,2,3,3,2
pan_039,Cup,3,2,1,1,3,0,3,2,0,2,2,1,2,2,3,1,0,2,1,1,2,1,2,1,1,1
pan_040,Spoon,3,3,3,1,1,3,2,1,3,3,3,3,3,3,3,1,3,3,1,3,3,2,3,3,3,3
pan_041,Straw,0,1,0,0,0,0,1,2,0,1,2,3,2,0,0,3,0,0,0,1,0,3,0,0,3,2
pan_042,Cup,2,1,1,0,2,0,0,1,0,1,2,0,2,2,2,0,0,1,0,3,1,0,2,3,3,2
pan_043,Spoon,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,2,2,1
pan_044,Straw,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,3,0,0
pan_045,Cup,3,1,1,0,0,0,0,1,0,2,3,1,0,0,2,2,0,2,0,0,0,0,0,2,2,0
pan_046,Spoon,3,1,0,0,0,0,0,0,0,2,2,0,0,0,3,2,0,1,0,0,0,2,0,0,0,0
pan_047,Straw,2,1,1,1,0,0,1,1,1,2,2,0,0,0,2,1,0,0,0,0,1,3,0,0,1,1
pan_048,Cup,2,3,2,2,2,2,2,2,1,3,3,2,2,2,1,3,1,2,2,2,2,3,0,2,1,2
pan_049,Spoon,3,3,2,1,2,2,2,1,2,3,2,2,1,2,3,2,2,3,1,2,3,3,3,2,3,2
pan_050,Straw,2,1,1,3,0,2,1,1,1,3,3,1,2,0,1,3,1,3,1,1,3,3,1,2,3,3
pan_051,Cup,2,2,1,2,3,0,2,2,0,2,2,1,2,3,2,2,0,1,1,0,1,2,0,0,0,0
pan_052,Spoon,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,3,0,1,1,1,1,3,0,0,0,2
pan_053,Straw,2,2,2,3,2,2,2,3,1,1,2,2,2,2,2,3,2,2,3,2,2,2,3,3,3,3
pan_054,Cup,1,0,0,0,3,0,0,2,0,0,0,0,1,3,1,2,0,0,2,0,0,2,1,2,2,2
pan_055,Spoon,2,1,1,1,2,1,1,1,1,2,1,1,2,1,2,1,1,1,1,2,1,1,2,3,3,2
pan_056,Straw,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,3,0,1,1,0,0,3,0,2,3,3
pan_057,Cup,2,2,1,1,2,1,1,2,1,2,2,2,2,2,1,3,1,1,2,1,1,2,2,1,1,2
pan_058,Spoon,2,1,1,1,1,0,1,1,0,2,3,2,1,2,0,2,0,2,2,2,3,3,0,0,0,0
pan_059,Straw,3,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,2,1,1,3,3,1,2,3,3
pan_060,Cup,2,1,2,2,2,0,1,1,1,2,3,2,1,1,3,0,2,2,0,1,3,0,3,0,1,1
pan_061,Spoon,3,1,2,2,2,0,2,3,0,0,1,2,2,2,2,2,0,0,2,2,1,0,0,2,2,1
pan_062,Straw,2,2,1,2,3,1,1,0,1,2,2,1,1,2,1,3,2,2,1,1,2,3,1,2,3,2
pan_063,Cup,3,3,2,3,0,0,0,2,0,1,3,2,2,0,2,2,0,1,1,0,3,2,2,3,3,1
pan_064,Spoon,3,3,2,2,2,0,2,2,0,1,3,2,2,0,1,1,1,1,1,0,1,2,2,2,2,2
pan_065,Straw,2,3,1,1,1,0,1,1,1,0,3,0,0,1,1,1,0,0,1,0,3,0,1,1,2,2
pan_066,Cup,3,3,1,0,3,0,1,1,0,3,2,1,2,3,2,3,1,3,1,3,3,3,1,3,3,3
pan_067,Spoon,2,1,2,1,0,0,1,0,0,1,1,1,1,0,2,2,0,1,0,0,2,0,0,1,3,2
pan_068,Straw,2,0,0,0,0,0,0,2,2,1,2,0,0,1,1,3,2,1,0,0,1,3,1,3,3,3
pan_069,Cup,1,2,2,1,2,0,2,2,0,2,2,3,3,1,0,2,0,2,1,3,2,1,0,2,0,0
pan_070,Spoon,2,2,2,2,2,0,3,2,0,1,1,2,2,2,2,2,0,1,2,2,3,2,2,2,3,3
pan_001,Straw,2,2,1,3,3,0,2,3,0,2,2,3,2,3,2,3,0,2,2,2,2,3,1,3,3,2
pan_002,Cup,3,1,3,2,2,0,0,3,0,2,1,3,2,2,0,1,0,3,2,0,0,3,1,1,3,1
pan_003,Spoon,2,2,2,2,2,1,1,2,1,1,2,2,2,2,2,2,1,2,2,1,2,3,3,3,2,2
pan_004,Cup,2,1,0,0,2,0,0,2,0,1,1,0,1,2,2,1,0,0,1,3,0,0,0,2,2,1
pan_005,Spoon,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,2,1,3,2,2,3,2
pan_006,Straw,2,1,3,3,3,2,3,2,3,1,2,3,3,3,2,2,2,2,3,1,2,1,3,2,2,2
pan_007,Straw,3,2,1,1,1,1,1,2,1,2,2,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2
pan_008,Cup,2,1,1,1,1,0,1,1,0,1,1,1,1,1,2,0,0,1,1,1,0,0,0,1,2,1
pan_009,Spoon,3,0,3,2,0,1,1,1,1,2,0,2,1,2,2,2,1,2,2,1,0,2,1,2,0,0
pan_010,Cup,3,2,1,2,3,1,2,1,1,3,3,1,2,2,3,3,1,2,1,3,2,2,2,3,3,3
pan_011,Spoon,3,3,2,3,3,1,1,0,1,0,3,1,1,1,3,2,0,1,3,0,0,2,1,0,0,1
pan_012,Straw,3,2,1,1,1,1,1,3,1,3,2,3,3,3,1,3,2,3,3,0,2,3,1,3,3,3
pan_013,Straw,3,2,1,1,3,1,2,3,1,1,1,2,2,3,3,2,2,1,1,3,2,0,0,2,2,0
pan_014,Cup,2,1,1,1,1,1,1,2,0,1,1,1,1,1,1,0,0,0,2,3,0,0,0,3,0,1
pan_015,Spoon,3,2,3,3,3,3,3,3,3,1,2,3,3,3,3,3,3,2,3,1,2,3,2,3,3,3
pan_016,Cup,2,1,0,3,3,2,3,3,2,1,1,0,3,3,1,3,2,1,3,1,0,3,0,2,1,3
pan_017,Spoon,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,0,1,1,0,2,1,0
pan_018,Straw,2,2,0,1,1,0,1,2,0,1,2,2,2,2,2,1,1,1,1,0,1,1,2,2,2,2
pan_019,Straw,2,1,1,2,2,0,1,2,0,0,2,2,2,2,2,3,1,1,2,0,2,1,1,0,1,1
pan_020,Cup,2,1,3,0,3,3,0,0,0,1,2,1,0,2,0,0,1,1,2,2,2,0,2,3,3,1
pan_021,Spoon,2,3,3,3,2,0,2,3,0,0,3,2,0,0,0,0,0,1,1,0,2,1,0,2,2,2
pan_022,Cup,3,1,2,2,3,0,2,3,0,1,2,3,2,3,3,3,0,1,2,1,2,3,0,0,3,2
pan_023,Spoon,3,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,3,3,2,3,0,0,0,0,0
pan_024,Straw,2,2,1,2,2,0,2,3,0,3,3,1,1,2,0,0,0,3,1,1,3,0,1,0,1,1
pan_025,Straw,2,3,1,2,2,0,1,2,0,2,3,1,2,2,2,2,0,3,2,1,2,2,1,2,2,2
pan_026,Cup,2,3,2,2,2,1,2,2,1,1,2,2,2,2,0,2,1,1,1,3,1,0,0,2,2,1
pan_027,Spoon,2,2,0,1,1,0,2,1,0,0,1,0,0,0,0,1,0,1,0,2,1,0,0,1,1,2
pan_028,Cup,2,2,3,3,3,2,3,3,1,1,2,2,3,3,2,3,0,1,3,0,1,3,3,3,3,2
pan_029,Spoon,3,3,1,1,3,1,2,1,1,3,3,2,3,3,3,3,3,3,1,3,3,3,1,3,3,3
pan_030,Straw,2,1,1,2,1,1,1,2,0,1,2,1,2,3,0,0,0,0,1,0,1,0,0,3,3,1
pan_031,Straw,1,1,3,2,2,0,3,3,0,1,2,3,3,3,1,1,0,1,3,2,1,1,2,1,3,1
pan_032,Cup,2,2,2,2,0,0,2,3,0,1,2,2,2,2,2,2,0,2,2,2,2,0,2,3,2,1
pan_033,Spoon,3,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,1,2,3,2,1,1,2,2,1
pan_034,Cup,2,3,1,1,2,0,1,2,0,3,3,1,1,1,2,2,0,3,1,2,3,0,1,1,1,2
pan_035,Spoon,3,2,3,2,3,2,3,2,2,3,3,3,3,3,3,3,2,3,3,2,3,3,2,3,3,3
pan_036,Straw,2,2,2,2,2,0,2,3,0,1,2,2,2,2,2,1,0,1,2,2,1,2,1,0,3,3
pan_037,Straw,3,2,0,0,0,0,0,0,0,1,3,2,3,3,3,0,0,0,0,1,3,2,0,3,3,3
pan_038,Cup,3,3,2,3,2,3,2,3,2,3,3,2,2,2,2,3,2,1,2,2,3,2,1,2,2,1
pan_039,Spoon,3,2,2,1,1,0,2,2,0,1,2,1,2,2,2,1,0,1,1,2,1,2,1,2,2,2
pan_040,Cup,2,3,3,1,2,2,2,1,2,3,3,2,2,2,3,1,1,3,1,3,3,2,3,1,1,3
pan_041,Spoon,3,0,1,0,2,0,2,2,0,2,2,2,3,3,2,0,2,0,0,0,0,0,2,2,3,0
pan_042,Straw,3,1,0,0,1,0,1,2,0,1,1,0,2,1,0,2,0,1,0,0,1,0,1,1,0,2
pan_043,Straw,2,2,0,0,2,0,0,1,0,2,2,0,0,1,0,1,0,2,0,0,0,0,0,3,2,0
pan_044,Cup,2,2,2,2,2,0,0,2,0,0,3,0,0,0,0,2,0,0,2,0,2,0,0,3,3,0
pan_045,Spoon,2,1,1,0,0,2,0,0,1,2,2,1,0,0,2,2,2,2,0,0,2,2,1,2,2,1
pan_046,Cup,3,1,0,0,0,0,0,2,0,1,2,0,0,0,3,0,0,1,2,1,2,0,2,2,2,0
pan_047,Spoon,2,3,0,2,2,0,0,0,1,2,2,2,0,0,2,3,0,2,2,2,2,3,1,0,0,1
pan_048,Straw,2,2,2,1,2,1,2,1,1,2,2,2,2,2,0,0,1,2,1,1,2,3,0,2,2,2
pan_049,Straw,3,3,3,2,3,3,3,2,3,2,2,2,3,2,3,2,2,2,2,1,2,2,2,2,3,3
pan_050,Cup,1,3,1,3,3,1,2,1,1,1,1,2,2,0,1,3,1,2,3,0,3,2,2,3,3,3
pan_051,Spoon,2,2,2,3,3,0,2,2,0,2,2,1,2,3,2,2,1,1,1,2,1,2,0,0,1,0
pan_052,Cup,2,2,1,1,1,0,1,1,1,2,3,1,1,0,1,2,1,2,0,0,2,2,0,0,0,0
pan_053,Spoon,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,1,2,2,2,3,3,2
pan_054,Straw,1,0,0,0,2,0,0,2,0,0,0,1,1,2,1,2,0,0,2,0,0,2,0,2,2,2
pan_055,Straw,2,2,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,3,3,1
pan_056,Cup,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,3,0,1,0,2,1,3,0,0,3,2
pan_057,Spoon,2,1,1,1,1,1,1,2,1,1,1,3,3,3,2,2,1,1,3,1,1,2,2,1,2,3
pan_058,Cup,2,1,1,2,2,0,1,2,0,1,2,3,3,3,3,3,0,0,3,1,2,3,0,0,0,1
pan_059,Spoon,2,1,1,1,1,1,1,3,1,1,2,2,2,1,1,3,2,2,1,2,2,3,1,1,3,2
pan_060,Straw,3,1,0,1,2,0,0,2,0,1,1,2,2,3,1,0,1,1,1,2,1,2,0,0,1,2
pan_061,Straw,3,1,2,2,2,0,2,2,1,1,1,1,2,2,2,2,0,0,2,0,1,2,0,2,2,2
pan_062,Cup,2,3,2,2,2,1,2,3,1,2,3,1,1,3,2,3,0,3,2,1,2,3,1,2,3,3
pan_063,Spoon,3,3,1,2,2,1,0,2,1,1,3,1,0,1,0,3,0,0,2,0,3,3,0,2,0,1
pan_064,Cup,2,3,2,2,2,0,3,2,0,2,2,1,2,0,2,2,0,2,1,3,2,2,1,2,2,2
pan_065,Spoon,3,3,2,1,1,0,1,1,1,3,1,1,1,2,1,2,1,1,1,1,1,0,1,1,1,1
pan_066,Straw,2,1,2,3,1,0,2,3,0,1,1,3,3,3,0,3,2,1,3,0,1,3,0,3,3,3
pan_067,Straw,2,0,1,1,0,0,0,0,0,1,1,3,2,0,0,2,0,1,1,0,1,2,2,2,3,1
pan_068,Cup,2,0,0,0,0,0,0,1,2,1,2,0,0,0,1,3,2,0,0,2,1,3,1,3,3,3
pan_069,Spoon,2,3,1,1,1,0,1,2,0,2,2,2,0,1,1,2,0,2,1,0,3,3,0,2,2,1
pan_070,Cup,2,3,2,3,2,1,2,2,0,1,3,2,2,2,1,2,0,1,2,0,3,2,2,3,3,2
