Panelist,Attribute,Juice,Rank
EFMA,Sourness_T,B,7
EFMA,Sourness_T,C,8
EFMA,Sourness_T,D,6
EFMA,Sourness_T,E,7
EFMA,Sourness_T,F,4
EFMA,Sourness_T,G,6
EFMA,Sourness_T,H,6
EFMA,Duration_T,A,6
EFMA,Duration_T,B,6
EFMA,Duration_T,C,4
EFMA,Duration_T,D,6
EFMA,Duration_T,E,5
EFMA,Duration_T,F,8
EFMA,Duration_T,G,6
EFMA,Duration_T,H,7
EFMA,Color_intensity_yellow,A,1
EFMA,Color_intensity_yellow,B,9
EFMA,Color_intensity_yellow,C,1
EFMA,Color_intensity_yellow,D,9
EFMA,Color_intensity_yellow,E,5
EFMA,Color_intensity_yellow,F,1
EFMA,Color_intensity_yellow,G,9
EFMA,Color_intensity_yellow,H,1
EFMA,Color_intensity_orange,A,9
EFMA,Color_intensity_orange,B,1
EFMA,Color_intensity_orange,C,1
EFMA,Color_intensity_orange,D,1
EFMA,Color_intensity_orange,E,5
EFMA,Color_intensity_orange,F,9
EFMA,Color_intensity_orange,G,2
EFMA,Color_intensity_orange,H,9
EFMA,Color_intensity_red,A,1
EFMA,Color_intensity_red,B,1
EFMA,Color_intensity_red,C,9
EFMA,Color_intensity_red,D,1
EFMA,Color_intensity_red,E,1
EFMA,Color_intensity_red,F,1
EFMA,Color_intensity_red,G,1
EFMA,Color_intensity_red,H,1
EFMA,Cooked_T,A,1
EFMA,Cooked_T,B,1
EFMA,Cooked_T,C,1
EFMA,Cooked_T,D,5
EFMA,Cooked_T,E,7
EFMA,Cooked_T,F,1
EFMA,Cooked_T,G,1
EFMA,Cooked_T,H,3
EFMA,Bitterness_T,A,1
EFMA,Bitterness_T,B,2
EFMA,Bitterness_T,C,6
EFMA,Bitterness_T,D,5
EFMA,Bitterness_T,E,2
EFMA,Bitterness_T,F,1
EFMA,Bitterness_T,G,3
EFMA,Bitterness_T,H,2
EFMA,Aged_T,A,2
EFMA,Aged_T,B,2
EFMA,Aged_T,C,1
EFMA,Aged_T,D,2
EFMA,Aged_T,E,7
EFMA,Aged_T,F,1
EFMA,Aged_T,G,1
EFMA,Aged_T,H,1
EFMA,Sourness_AF,A,2
EFMA,Sourness_AF,B,4
EFMA,Sourness_AF,C,7
EFMA,Sourness_AF,D,5
EFMA,Sourness_AF,E,2
EFMA,Sourness_AF,F,1
EFMA,Sourness_AF,G,2
EFMA,Sourness_AF,H,7
EFMA,Turbidity,A,6
EFMA,Turbidity,B,7
EFMA,Turbidity,C,7
EFMA,Turbidity,D,7
EFMA,Turbidity,E,6
EFMA,Turbidity,F,3
EFMA,Turbidity,G,8
EFMA,Turbidity,H,6
EFMA,Fiber_content,A,1
EFMA,Fiber_content,B,2
EFMA,Fiber_content,C,1
EFMA,Fiber_content,D,7
EFMA,Fiber_content,E,1
EFMA,Fiber_content,F,1
EFMA,Fiber_content,G,1
EFMA,Fiber_content,H,1
ES,Yellow_intensity,A,1
ES,Yellow_intensity,B,8
ES,Yellow_intensity,C,1
ES,Yellow_intensity,D,7
ES,Yellow_intensity,E,4
ES,Yellow_intensity,F,3
ES,Yellow_intensity,G,7
ES,Yellow_intensity,H,3
ES,Orange_intensity,A,8
ES,Orange_intensity,B,2
ES,Orange_intensity,C,2
ES,Orange_intensity,D,2
ES,Orange_intensity,E,7
ES,Orange_intensity,F,7
ES,Orange_intensity,G,2
ES,Orange_intensity,H,7
ES,Red_intensity,A,1
ES,Red_intensity,B,1
ES,Red_intensity,C,8
ES,Red_intensity,D,1
ES,Red_intensity,E,1
ES,Red_intensity,F,1
ES,Red_intensity,G,1
ES,Red_intensity,H,1
ES,Sweetness_O,A,7
ES,Sweetness_O,B,2
ES,Sweetness_O,C,1
ES,Sweetness_O,D,3
ES,Sweetness_O,E,2
ES,Sweetness_O,F,6
ES,Sweetness_O,G,2
ES,Sweetness_O,H,6
ES,Artificial_O,A,7
ES,Artificial_O,B,3
ES,Artificial_O,C,3
ES,Artificial_O,D,3
ES,Artificial_O,E,2
ES,Artificial_O,F,7
ES,Artificial_O,G,4
ES,Artificial_O,H,8
ES,Sour_O,A,1
ES,Sour_O,B,5
ES,Sour_O,C,7
ES,Sour_O,D,6
ES,Sour_O,E,4
ES,Sour_O,F,2
ES,Sour_O,G,7
ES,Sour_O,H,1
ES,Sourness_T,A,2
ES,Sourness_T,B,5
ES,Sourness_T,C,7
ES,Sourness_T,D,6
ES,Sourness_T,E,4
ES,Sourness_T,F,3
ES,Sourness_T,G,6
ES,Sourness_T,H,4
ES,Sweetness_T,A,7
ES,Sweetness_T,B,4
ES,Sweetness_T,C,3
ES,Sweetness_T,D,5
ES,Sweetness_T,E,6
ES,Sweetness_T,F,6
ES,Sweetness_T,G,5
ES,Sweetness_T,H,7
ES,Acidity_AF,A,3
ES,Acidity_AF,B,5
ES,Acidity_AF,C,5
ES,Acidity_AF,D,5
ES,Acidity_AF,E,5
ES,Acidity_AF,F,2
ES,Acidity_AF,G,6
ES,Acidity_AF,H,3
ES,Duration_AF,A,2
ES,Duration_AF,B,6
ES,Duration_AF,C,6
ES,Duration_AF,D,6
ES,Duration_AF,E,4
ES,Duration_AF,F,3
ES,Duration_AF,G,6
ES,Duration_AF,H,3
ES,Pulp,A,1
ES,Pulp,B,4
ES,Pulp,C,1
ES,Pulp,D,9
ES,Pulp,E,1
ES,Pulp,F,1
ES,Pulp,G,3
ES,Pulp,H,1
ES,Richness,A,1
ES,Richness,B,5
ES,Richness,C,6
ES,Richness,D,7
ES,Richness,E,2
ES,Richness,F,2
ES,Richness,G,4
ES,Richness,H,1
CAS,Yellow_Intensity,A,4
CAS,Yellow_Intensity,B,8
CAS,Yellow_Intensity,C,1
CAS,Yellow_Intensity,D,8
CAS,Yellow_Intensity,E,7
CAS,Yellow_Intensity,F,5
CAS,Yellow_Intensity,G,8
CAS,Yellow_Intensity,H,4
CAS,Red_Intensity,A,7
CAS,Red_Intensity,B,1
CAS,Red_Intensity,C,8
CAS,Red_Intensity,D,1
CAS,Red_Intensity,E,4
CAS,Red_Intensity,F,5
CAS,Red_Intensity,G,2
CAS,Red_Intensity,H,6
CAS,Orange_O,A,4
CAS,Orange_O,B,8
CAS,Orange_O,C,4
CAS,Orange_O,D,8
CAS,Orange_O,E,6
CAS,Orange_O,F,2
CAS,Orange_O,G,7
CAS,Orange_O,H,2
CAS,Sweetness_O,A,7
CAS,Sweetness_O,B,7
CAS,Sweetness_O,C,3
CAS,Sweetness_O,D,6
CAS,Sweetness_O,E,7
CAS,Sweetness_O,F,8
CAS,Sweetness_O,G,7
CAS,Sweetness_O,H,8
CAS,Artificial_O,A,4
CAS,Artificial_O,B,3
CAS,Artificial_O,C,4
CAS,Artificial_O,D,1
CAS,Artificial_O,E,7
CAS,Artificial_O,F,7
CAS,Artificial_O,G,3
CAS,Artificial_O,H,8
CAS,Sourness_T,A,7
CAS,Sourness_T,B,7
CAS,Sourness_T,C,7
CAS,Sourness_T,D,5
CAS,Sourness_T,E,8
CAS,Sourness_T,F,1
CAS,Sourness_T,G,7
CAS,Sourness_T,H,3
CAS,Sweetness_T,A,5
CAS,Sweetness_T,B,7
CAS,Sweetness_T,C,6
CAS,Sweetness_T,D,6
CAS,Sweetness_T,E,4
CAS,Sweetness_T,F,8
CAS,Sweetness_T,G,5
CAS,Sweetness_T,H,9
CAS,Bitterness_T,A,6
CAS,Bitterness_T,B,2
CAS,Bitterness_T,C,3
CAS,Bitterness_T,D,2
CAS,Bitterness_T,E,6
CAS,Bitterness_T,F,1
CAS,Bitterness_T,G,6
CAS,Bitterness_T,H,1
CAS,Artificial_T,A,5
CAS,Artificial_T,B,2
CAS,Artificial_T,C,2
CAS,Artificial_T,D,1
CAS,Artificial_T,E,7
CAS,Artificial_T,F,7
CAS,Artificial_T,G,5
CAS,Artificial_T,H,8
CAS,Orange_T,A,4
CAS,Orange_T,B,8
CAS,Orange_T,C,7
CAS,Orange_T,D,8
CAS,Orange_T,E,5
CAS,Orange_T,F,2
CAS,Orange_T,G,5
CAS,Orange_T,H,5
CAS,Pulp,A,1
CAS,Pulp,B,8
CAS,Pulp,C,1
CAS,Pulp,D,9
CAS,Pulp,E,1
CAS,Pulp,F,1
CAS,Pulp,G,1
CAS,Pulp,H,1
RSS,Orange_Intensity,A,8
RSS,Orange_Intensity,B,2
RSS,Orange_Intensity,C,1
RSS,Orange_Intensity,D,3
RSS,Orange_Intensity,E,2
RSS,Orange_Intensity,F,8
RSS,Orange_Intensity,G,4
RSS,Orange_Intensity,H,8
RSS,Sweetness_O,A,9
RSS,Sweetness_O,B,7
RSS,Sweetness_O,C,4
RSS,Sweetness_O,D,8
RSS,Sweetness_O,E,3
RSS,Sweetness_O,F,7
RSS,Sweetness_O,G,4
RSS,Sweetness_O,H,8
RSS,Sweetness_T,A,9
RSS,Sweetness_T,B,8
RSS,Sweetness_T,C,5
RSS,Sweetness_T,D,5
RSS,Sweetness_T,E,3
RSS,Sweetness_T,F,7
RSS,Sweetness_T,G,7
RSS,Sweetness_T,H,8
RSS,Sourness_T,A,1
RSS,Sourness_T,B,8
RSS,Sourness_T,C,8
RSS,Sourness_T,D,9
RSS,Sourness_T,E,9
RSS,Sourness_T,F,2
RSS,Sourness_T,G,2
RSS,Sourness_T,H,7
RSS,Orange_T,A,2
RSS,Orange_T,B,9
RSS,Orange_T,C,2
RSS,Orange_T,D,7
RSS,Orange_T,E,2
RSS,Orange_T,F,2
RSS,Orange_T,G,8
RSS,Orange_T,H,5
RSS,Astringency_AF,A,1
RSS,Astringency_AF,B,8
RSS,Astringency_AF,C,8
RSS,Astringency_AF,D,7
RSS,Astringency_AF,E,4
RSS,Astringency_AF,F,6
RSS,Astringency_AF,G,5
RSS,Astringency_AF,H,3
RSS,Pulp,A,1
RSS,Pulp,B,9
RSS,Pulp,C,6
RSS,Pulp,D,8
RSS,Pulp,E,1
RSS,Pulp,F,1
RSS,Pulp,G,7
RSS,Pulp,H,1
MS,Color_Intensity,A,4
MS,Color_Intensity,B,7
MS,Color_Intensity,C,8
MS,Color_Intensity,D,7
MS,Color_Intensity,E,2
MS,Color_Intensity,F,3
MS,Color_Intensity,G,7
MS,Color_Intensity,H,6
MS,Sourness_O,A,2
MS,Sourness_O,B,7
MS,Sourness_O,C,7
MS,Sourness_O,D,6
MS,Sourness_O,E,5
MS,Sourness_O,F,2
MS,Sourness_O,G,7
MS,Sourness_O,H,3
MS,Artificial_O,A,6
MS,Artificial_O,B,6
MS,Artificial_O,C,3
MS,Artificial_O,D,2
MS,Artificial_O,E,7
MS,Artificial_O,F,8
MS,Artificial_O,G,5
MS,Artificial_O,H,7
MS,Artificial_T,A,7
MS,Artificial_T,B,3
MS,Artificial_T,C,2
MS,Artificial_T,D,6
MS,Artificial_T,E,5
MS,Artificial_T,F,8
MS,Artificial_T,G,7
MS,Artificial_T,H,5
MS,Sourness_T,A,3
MS,Sourness_T,B,4
MS,Sourness_T,C,8
MS,Sourness_T,D,5
MS,Sourness_T,E,3
MS,Sourness_T,F,3
MS,Sourness_T,G,5
MS,Sourness_T,H,5
MS,Sweetness_T,A,8
MS,Sweetness_T,B,7
MS,Sweetness_T,C,3
MS,Sweetness_T,D,7
MS,Sweetness_T,E,7
MS,Sweetness_T,F,8
MS,Sweetness_T,G,7
MS,Sweetness_T,H,8
MS,Bitterness_T,A,2
MS,Bitterness_T,B,4
MS,Bitterness_T,C,3
MS,Bitterness_T,D,6
MS,Bitterness_T,E,2
MS,Bitterness_T,F,2
MS,Bitterness_T,G,6
MS,Bitterness_T,H,5
MS,Aftertaste,A,5
MS,Aftertaste,B,3
MS,Aftertaste,C,4
MS,Aftertaste,D,3
MS,Aftertaste,E,6
MS,Aftertaste,F,7
MS,Aftertaste,G,7
MS,Aftertaste,H,4
MS,Richness,A,3
MS,Richness,B,7
MS,Richness,C,5
MS,Richness,D,7
MS,Richness,E,5
MS,Richness,F,4
MS,Richness,G,6
MS,Richness,H,3
MS,Pulp,A,1
MS,Pulp,B,8
MS,Pulp,C,2
MS,Pulp,D,9
MS,Pulp,E,1
MS,Pulp,F,1
MS,Pulp,G,3
MS,Pulp,H,1
BTW,Sourness_O,A,5
BTW,Sourness_O,B,8
BTW,Sourness_O,C,7
BTW,Sourness_O,D,8
BTW,Sourness_O,E,7
BTW,Sourness_O,F,2
BTW,Sourness_O,G,8
BTW,Sourness_O,H,2
BTW,Bitterness_T,A,2
BTW,Bitterness_T,B,4
BTW,Bitterness_T,C,5
BTW,Bitterness_T,D,3
BTW,Bitterness_T,E,5
BTW,Bitterness_T,F,2
BTW,Bitterness_T,G,3
BTW,Bitterness_T,H,2
BTW,Aftertaste,A,3
BTW,Aftertaste,B,2
BTW,Aftertaste,C,3
BTW,Aftertaste,D,3
BTW,Aftertaste,E,3
BTW,Aftertaste,F,3
BTW,Aftertaste,G,3
BTW,Aftertaste,H,2
BTW,Artificial_T,A,9
BTW,Artificial_T,B,4
BTW,Artificial_T,C,3
BTW,Artificial_T,D,3
BTW,Artificial_T,E,6
BTW,Artificial_T,F,7
BTW,Artificial_T,G,4
BTW,Artificial_T,H,6
SJW,Hue,A,7
SJW,Hue,B,3
SJW,Hue,C,8
SJW,Hue,D,3
SJW,Hue,E,5
SJW,Hue,F,6
SJW,Hue,G,4
SJW,Hue,H,6
SJW,Sweetness_O,A,7
SJW,Sweetness_O,B,4
SJW,Sweetness_O,C,6
SJW,Sweetness_O,D,2
SJW,Sweetness_O,E,6
SJW,Sweetness_O,F,7
SJW,Sweetness_O,G,4
SJW,Sweetness_O,H,4
SJW,Sweetness_T,A,8
SJW,Sweetness_T,B,4
SJW,Sweetness_T,C,3
SJW,Sweetness_T,D,4
SJW,Sweetness_T,E,8
SJW,Sweetness_T,F,8
SJW,Sweetness_T,G,6
SJW,Sweetness_T,H,7
SJW,Sourness_T,A,1
SJW,Sourness_T,B,6
SJW,Sourness_T,C,8
SJW,Sourness_T,D,6
SJW,Sourness_T,E,1
SJW,Sourness_T,F,1
SJW,Sourness_T,G,6
SJW,Sourness_T,H,3
SJW,Bitterness_T,A,1
SJW,Bitterness_T,B,6
SJW,Bitterness_T,C,3
SJW,Bitterness_T,D,4
SJW,Bitterness_T,E,1
SJW,Bitterness_T,F,1
SJW,Bitterness_T,G,5
SJW,Bitterness_T,H,2
SJW,Orange_T,A,3
SJW,Orange_T,B,6
SJW,Orange_T,C,4
SJW,Orange_T,D,7
SJW,Orange_T,E,3
SJW,Orange_T,F,2
SJW,Orange_T,G,5
SJW,Orange_T,H,3
SJW,Duration_AF,A,4
SJW,Duration_AF,B,7
SJW,Duration_AF,C,7
SJW,Duration_AF,D,6
SJW,Duration_AF,E,7
SJW,Duration_AF,F,4
SJW,Duration_AF,G,7
SJW,Duration_AF,H,6
SJW,Richness,A,4
SJW,Richness,B,7
SJW,Richness,C,6
SJW,Richness,D,8
SJW,Richness,E,3
SJW,Richness,F,2
SJW,Richness,G,6
SJW,Richness,H,4
BTW,Liking,A,2
BTW,Liking,B,7
BTW,Liking,C,4
BTW,Liking,D,3
BTW,Liking,E,7
BTW,Liking,F,6
BTW,Liking,G,1
BTW,Liking,H,9
NLB,Liking,A,7
NLB,Liking,B,6
NLB,Liking,C,2
NLB,Liking,D,8
NLB,Liking,E,7
NLB,Liking,F,5
NLB,Liking,G,6
NLB,Liking,H,7
SLB,Liking,A,1
SLB,Liking,B,8
SLB,Liking,C,6
SLB,Liking,D,7
SLB,Liking,E,3
SLB,Liking,F,1
SLB,Liking,G,6
SLB,Liking,H,1
LB,Liking,A,2
LB,Liking,B,7
LB,Liking,C,6
LB,Liking,D,9
LB,Liking,E,2
LB,Liking,F,3
LB,Liking,G,1
LB,Liking,H,5
SC,Liking,A,1
SC,Liking,B,7
SC,Liking,C,1
SC,Liking,D,7
SC,Liking,E,1
SC,Liking,F,1
SC,Liking,G,8
SC,Liking,H,2
SD,Liking,A,6
SD,Liking,B,6
SD,Liking,C,2
SD,Liking,D,3
SD,Liking,E,3
SD,Liking,F,1
SD,Liking,G,7
SD,Liking,H,4
SLPF,Liking,A,6
SLPF,Liking,B,3
SLPF,Liking,C,1
SLPF,Liking,D,1
SLPF,Liking,E,7
SLPF,Liking,F,2
SLPF,Liking,G,5
SLPF,Liking,H,1
REJ,Liking,A,3
REJ,Liking,B,7
REJ,Liking,C,1
REJ,Liking,D,8
REJ,Liking,E,3
REJ,Liking,F,1
REJ,Liking,G,7
REJ,Liking,H,4
AHMK,Liking,A,3
AHMK,Liking,B,5
AHMK,Liking,C,6
AHMK,Liking,D,5
AHMK,Liking,E,1
AHMK,Liking,F,2
AHMK,Liking,G,5
AHMK,Liking,H,3
PCMK,Liking,A,5
PCMK,Liking,B,6
PCMK,Liking,C,3
PCMK,Liking,D,7
PCMK,Liking,E,2
PCMK,Liking,F,2
PCMK,Liking,G,8
PCMK,Liking,H,3
MJTL,Liking,A,6
MJTL,Liking,B,7
MJTL,Liking,C,7
MJTL,Liking,D,9
MJTL,Liking,E,7
MJTL,Liking,F,4
MJTL,Liking,G,7
MJTL,Liking,H,8
EFMA,Liking,A,1
EFMA,Liking,B,8
EFMA,Liking,C,2
EFMA,Liking,D,5
EFMA,Liking,E,3
EFMA,Liking,F,1
EFMA,Liking,G,6
EFMA,Liking,H,1
ES,Liking,A,3
ES,Liking,B,6
ES,Liking,C,7
ES,Liking,D,5
ES,Liking,E,3
ES,Liking,F,2
ES,Liking,G,6
ES,Liking,H,3
CAS,Liking,A,5
CAS,Liking,B,8
CAS,Liking,C,3
CAS,Liking,D,7
CAS,Liking,E,7
CAS,Liking,F,8
CAS,Liking,G,6
CAS,Liking,H,2
RSS,Liking,A,6
RSS,Liking,B,8
RSS,Liking,C,4
RSS,Liking,D,8
RSS,Liking,E,5
RSS,Liking,F,1
RSS,Liking,G,8
RSS,Liking,H,1
MS,Liking,A,6
MS,Liking,B,8
MS,Liking,C,4
MS,Liking,D,8
MS,Liking,E,6
MS,Liking,F,5
MS,Liking,G,6
MS,Liking,H,7
SJW,Liking,A,2
SJW,Liking,B,7
SJW,Liking,C,6
SJW,Liking,D,8
SJW,Liking,E,3
SJW,Liking,F,2
SJW,Liking,G,7
SJW,Liking,H,3
